Registered Corporations,Total scope 1 greenhouse gas emissions (t CO2-3),Total scope 2 greenhouse gas emissions (t CO2-3),Total energy consumption (GJ)
Exxonmobil Australia Pty Ltd,"2,578,735","260,236","630,356,337"
Fairfax Media Limited,"7,197","89,997","459,563"
Farstad Shipping (Indian Pacific) Pty Ltd,"166,623",0,"2,383,732"
Felix Resources Limited,"162,530","22,113","1,248,912"
Fletcher Building (Australia) Pty Ltd,"81,844","247,926","3,546,260"
Food Investments P/L,"99,765","196,079","2,391,438"
Ford Motor Company of Australia Limited,"33,842","201,248","1,219,581"
Fortescue Metals Group Ltd,"444,705","39,714","6,663,106"
Foster's Group Limited,"78,223","155,676","1,683,584"
Frequency Infrastructure Australia Holdings Pty Ltd,"1,907","162,098","672,042"
Fulton Hogan Australia Pty/Ltd,"75,988","16,541","7,391,231"
General Motors Australia Ltd,"32,354","118,459","1,129,461"
Gladstone Ports Corporation Limited,"33,056","71,682","771,459"
Global Switch Australia Pty Limited,0,"101,422","410,245"
Gold Fields Australia Pty Ltd,"97,570","195,533","2,329,395"
Goldfields Power Pty Ltd,"204,732",0,"3,967,626"
Goodman Fielder Limited,"75,569","93,240","1,573,545"
GPT Management Holdings Ltd,"17,331","161,585","808,969"
Graincorp Limited,"51,269","133,760","1,341,051"
Grange Resources Limited,"196,376","53,398","4,065,160"
Great Energy Alliance Corporation Pty Ltd,"19,797,636","231,396","219,375,235"
Gujarat NRE Coking Coal Limited,"786,245","48,504","231,934"
Hanson Australia (Holdings) Proprietary Limited,"169,774","61,916","2,078,250"
Harvey Norman Holdings Limited,"26,095","153,927","939,392"
HCPH Holdings Pty Limited,"90,112","39,599","6,342,631"
Healthscope Limited,"11,372","99,888","606,950"
Heinz Watties Pty Ltd,"44,410","45,597","795,146"
Holcim Participations (Australia) Pty Ltd.,"186,702","81,108","3,106,125"
Holiday Inns Holdings (Australia) Pty Ltd,"14,159","97,427","662,076"
