Controlling Corporation ,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
A B C TISSUE PRODUCTS PTY LTD,33003085112,"22,997","57,998","697,358",-
A.A. SCOTT PROPRIETARY LIMITED,14007601667,"227,196","8,755","3,313,258",-
A.C.N. 004 410 833 LIMITED,63004410833,"2,744,046","990,321","37,121,263",-
A.C.N. 085 239 998 PTY LTD,39085239998,"2,083","176,053","931,364",-
A.J. BUSH & SONS PTY LTD,77000134010,"89,341","15,434","860,287",-
AAPC LIMITED,87009175820,"19,737","158,157","1,043,207",-
ADELAIDE BRIGHTON LTD.,15007596018,"2,209,133","231,420","14,416,902",-
AERIS RESOURCES LIMITED,30147131977,"16,998","66,533","526,243",-
AGL ENERGY LIMITED,74115061375,"43,441,666","488,753","341,135,726",-
AIR LIQUIDE AUSTRALIA LIMITED,57004385782,"6,824","228,946","1,165,738",-
AIRWORK FLIGHT OPERATIONS PTY LTD,13119011871,"65,052",0,"926,624",-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,33096987370,"6,288,300","2,902,162","121,535,979",-
ALDI FOODS PTY LIMITED,18086210139,"36,107","237,058","1,478,809",-
ALIAXIS HOLDINGS AUSTRALIA PTY LIMITED,33169799080,827,"52,703","256,793",-
ALKANE RESOURCES LTD,35000689216,"28,893","31,231","546,293",-
ALLIANCE AIRLINES PTY LIMITED,81107165980,"132,467","1,059","1,892,267",-
ALPHA DISTRIBUTION MINISTERIAL HOLDING CORPORATION,67505337385,"9,656","376,692","1,684,775",-
AMCOR LTD,62000017372,"6,680","56,125","326,769",-
AMP LIMITED,49079354519,"8,455","98,203","545,408",-
ANGLO AMERICAN AUSTRALIA LIMITED,47004892371,"4,926,806","610,047","7,563,666",-
ANGLOGOLD ASHANTI AUSTRALIA LIMITED,42008737424,"359,342",282,"6,112,246",-
APT PIPELINES LIMITED,89009666700,"1,228,824","25,012","15,498,844",-
ARNOTTS BISCUITS HOLDINGS PTY LTD,84080889621,"27,582","52,555","768,217",-
ARROW ENERGY HOLDINGS PTY LTD,94141385293,"547,567","33,584","7,977,600",-
ASAHI HOLDINGS (AUSTRALIA) PTY LTD,48135315767,"18,173","64,617","596,425",-
ASALEO CARE LIMITED,61154461300,"37,857","129,417","1,159,502",-
ATCO AUSTRALIA PTY LTD,74091033546,"584,987","1,266","6,813,382",-
ATCO GAS AUSTRALIA GP PTY LTD,76151245779,"165,165",429,"44,507",-
ATLAS IRON LIMITED,63110396168,"54,431","5,046","821,266",-
AURIZON HOLDINGS LIMITED,14146335622,"644,134","410,064","10,841,024",-
AUSCAN HOLDINGS PTY LIMITED,70084400886,"101,932",37,"1,388,311",-
AUSGRID MANAGEMENT PTY LTD,83615449548,"13,391","521,954","2,334,462",-
AUSNET SERVICES (TRANSMISSION) LTD,48116124362,"23,863","1,308,613","4,404,617",-
AUSNET SERVICES HOLDINGS PTY LTD,97086006859,"179,528","531,348","1,996,894",-
AUSTIN HEALTH,96237388063,"16,102","48,905","472,423",-
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,11005357522,"7,517","119,365","572,730",-
AUSTRALIA PACIFIC AIRPORTS CORPORATION LIMITED,89069775266,"22,345","38,971","564,298",-
AUSTRALIAN ENERGY MARKET OPERATOR LIMITED,94072010327,"57,452",0,"1,114,939",-
AUSTRALIAN GAS NETWORKS LIMITED,19078551685,"587,161",622,"119,071",-
AUSTRALIAN LOGISTICS ACQUISITION HOLDINGS PTY LIMITED,611628909,"893,885","93,315","13,176,147",-
AUSTRALIAN NATIONAL UNIVERSITY,52234063906,"18,548","84,171","621,322",-
AUSTRALIAN NUCLEAR SCIENCE AND TECHNOLOGY ORGANISATION,47956969590,"2,146","61,611","250,913",-
AUSTRALIAN POSTAL CORPORATION,28864970579,"118,348","161,606","2,410,951",-
AUTOMOTIVE HOLDINGS GROUP LIMITED,35111470038,"214,474","82,194","3,490,268",-
AXIA ENERGY AUSTRALIA PTY LTD,75108275216,"462,385",19,"5,496,576",-
B.M.D. HOLDINGS PTY. LIMITED,47010093348,"67,112",952,"961,116",-
BAIADA PTY LTD,47000426808,"59,272","159,296","1,789,522",-
BAPSH PTY LIMITED,54605702618,"111,686","11,588","1,639,597",-
BATCHFIRE RESOURCES PTY LTD,84607340189,"93,348","44,420","1,542,039",-
BAYBRICK PTY. LTD.,97067220017,"294,834","249,838","3,362,459",-
BECHTEL (WESTERN AUSTRALIA) PTY LTD,25147531226,"169,756",253,"2,365,446",-
BEGA CHEESE LIMITED,81008358503,"44,560","87,574","1,426,555",-
BENGALLA MINING COMPANY PTY LIMITED,32053909470,"429,011","59,046","2,197,415",-
BGC (AUSTRALIA) PTY LTD,62005736005,"112,848","73,847","2,442,402",-
BHP BILLITON ENERGY COAL AUSTRALIA PTY LTD,79057364315,"460,908","84,218","6,304,643",-
