Controlling Corporation ,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Total Net Energy consumed  (GJ),Important Notes
Sandfire Resources NL,55105154185,"73,113",141,"1,052,881",N/A
Santos LTD,80007550923,"3,813,163","32,671","36,026,769",N/A
SARACEN MINERAL HOLDINGS LIMITED,52009215347,"87,525",58,"1,268,714",N/A
SCENTRE GROUP LIMITED,66001671496,"11,943","311,983","1,403,090",N/A
SCOTTS TRANSPORT INDUSTRIES PTY LTD,79007681398,"70,534",468,"1,013,275",N/A
SEALED AIR AUSTRALIA (HOLDINGS) PTY LIMITED,74102261307,"4,352","47,991","211,946",N/A
SEDCO FOREX INTERNATIONAL INC,44188717522,"70,169",53,"1,017,501",N/A
Sembsita Australia Pty. Limited,18002658255,"558,001","36,412","1,304,830",N/A
SGSP (Australia) Assets Pty Ltd,60126327624,"645,066","361,504","7,088,848",N/A
Sibelco Asia Pacific Pty Ltd,70092916811,"616,979","253,262","4,917,921",N/A
SILICON METAL COMPANY OF AUSTRALIA PTY LTD,73009401736,"81,999","440,485","4,790,314",N/A
Silver Lake Resources Limited,38108779782,"76,725","45,178","1,374,118",N/A
Simplot Australia (Holdings) Pty Limited,23070571934,"62,962","61,677","1,483,809",N/A
Sims Metal Management Limited,69114838630,"33,455","38,192","669,094",N/A
SINGAPORE TELECOM AUSTRALIA INVESTMENTS PTY LIMITED,69096686190,"2,963","358,462","1,460,466",N/A
Snowy Hydro Limited,17090574431,"19,671","95,971","681,718",N/A
Sojitz Coal Resources Pty Limited,34063050680,"80,613",23,"1,176,971",N/A
SONIC HEALTHCARE LIMITED,24004196909,"8,158","58,023","370,179",N/A
SOUTH AUSTRALIAN WATER CORPORATION,69336525019,"62,210","180,480","1,464,422","These corporations have voluntarily provided information to the Clean Energy Regulator concerning GreenPower renewable energy purchases, voluntarily surrendered Renewable Energy Certificates or offset scope 2 greenhouse gas emissions totals. For further information refer to the separate table for GreenPower purchases, Renewable Energy Certificates and offset scope 2 emission totals 2013-14 report."
Spotless Group Holdings Limited,27154229562,"38,473","41,937","874,103",N/A
St Barbara Limited,36009165066,"84,007","1,267","1,443,905",N/A
ST JOHN OF GOD HEALTH CARE INC,21930207958,"13,680","48,588","410,672",N/A
ST VINCENT'S HEALTH AUSTRALIA LTD,75073503536,"10,611","100,515","568,260",N/A
Stanwell Corporation Limited,37078848674,"14,601,378","50,118","114,523,519",N/A
STATE TRANSIT AUTHORITY OF NSW,51750635629,"154,578","8,865","2,470,536",N/A
STOCKLAND CORPORATION LTD,43000181733,"21,550","100,527","696,515",N/A
Straits Resources Limited,30147131977,"15,700","52,389","441,394",N/A
SUN METALS HOLDINGS LIMITED,30051538580,"15,429","679,513","3,060,528",N/A
Suncorp Group Limited,66145290124,"6,311","46,775","290,942",N/A
SUNWATER LIMITED,17020276523,"5,539","146,047","710,564",N/A
Super Retail Group Limited,81108676204,965,"81,088","343,653",N/A
SVITZER AUSTRALASIA SERVICES PTY LIMITED,18120555375,"53,891","3,167","784,006",N/A
Sydney Airport Limited,18165056360,"5,024","85,425","439,399",N/A
SYDNEY TRAINS,38284779682,"11,793","547,192","2,435,889",N/A
SYDNEY WATER CORPORATION,49776225038,"58,108","301,851","2,145,633",N/A
Teekay Holdings Australia Pty Ltd,12125391880,"75,999",228,"1,042,555",N/A
TELSTRA CORPORATION LIMITED,33051775556,"52,554","1,298,110","5,946,071",N/A
Teys Australia Pty Ltd,38009872600,"147,734","113,852","1,700,103",N/A
THALES AUSTRALIA HOLDINGS PTY LTD,84058583841,"37,926","47,655","534,337",N/A
THE TRUSTEE FOR BESTFRESH TRUST,72534822931,"41,041","48,362","722,728",N/A
THE TRUSTEE FOR BYRNS SMITH UNIT TRUST,37757194158,"79,931","6,986","1,175,347",N/A
The Trustee for R.G. Withers Unit Trust,33162985937,658,"127,370","481,132",N/A
THE TRUSTEE FOR THE LACHLAN A KENNETT FAMILY TRUST,68835612007,"77,017",0,"13,278",N/A
THE TRUSTEE FOR THE MADDINGLEY MINE TRUST,63604564597,"68,481",454,"182,655",N/A
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (NSW),77005284605,"4,939","52,448","300,098",N/A
The Uniting Church in Australia Property Trust (Q.),25548385225,"15,736","79,972","599,748",N/A
THE UNIVERSITY OF QUEENSLAND,63842912684,"1,958","128,843","593,281",N/A
The Valspar (Australia) Paint Acquisition Pty Limited,39144866464,"45,025","11,296","805,008",N/A
Thomas Foods International Consolidated Pty Ltd,20105099849,"29,533","36,977","642,789",N/A
TIDEWATER MARINE AUSTRALIA,52101311451,"56,620",103,"810,524",N/A
TIGER AIRWAYS AUSTRALIA PTY LIMITED,52124369008,"334,116",0,"4,800,327",N/A
Toga PTY LTD,27000926947,"5,847","53,236","331,998",N/A
Toll Holdings Limited,25006592089,"524,759","80,457","7,879,265",N/A
TOYOTA MOTOR CORPORATION AUSTRALIA LIMITED,64009686097,"32,101","112,315","947,324",N/A
TransAlta Energy (Australia) Pty Ltd,40062135844,"794,387",22,"10,175,662",N/A
TRANSDEV AUSTRALASIA PTY LTD,40079303816,"122,071","6,014","1,869,614",N/A
TRANSEND NETWORKS PTY LTD,57082586892,"2,645","88,434","1,597,231",N/A
TRANSFIELD SERVICES LIMITED,69000484417,"56,254","21,598","934,983",N/A
TransGrid,19622755774,"17,258","1,222,576","5,138,049",N/A
TRANSIT SYSTEMS PTY LTD,34135200609,"74,961","2,660","1,344,201",N/A
TRANSPACIFIC INDUSTRIES GROUP LTD,74101155220,"559,304","33,450","2,579,636",N/A
Treasury Wine Estates Limited,24004373862,"10,693","46,614","351,581",N/A
TRILITY Group Pty Ltd,39144522565,"2,558","111,271","605,100",N/A
Tronox Management Pty Ltd,59009343364,"539,249","160,211","9,945,022",N/A
TT-LINE COMPANY PTY. LTD.,39061996174,"140,775","1,179","1,815,718",N/A
UNITED ENERGY DISTRIBUTION HOLDINGS PTY LIMITED,15104381660,"5,913","480,486","1,563,794",N/A
UNIVERSITY OF MELBOURNE,84002705224,"14,739","132,813","683,942",N/A
UNIVERSITY OF NEW SOUTH WALES,57195873179,"6,430","66,025","395,032",N/A
UNIVERSITY OF SYDNEY,15211513464,"6,741","87,746","485,088",N/A
V/Line Corporation,Not reported,"86,065","19,364","1,295,197",N/A
Valmont Group Holdings Pty Ltd,60094882210,"13,443","43,104","441,882",N/A
Van Oord Dredging & Marine Contractors BV,Not reported,"124,783",53,"1,706,713",N/A
VENTURA MOTORS PROPRIETARY LIMITED,67004235518,"52,115","3,275","758,695",N/A
Veolia Water Australia Pty Ltd,99061161279,"34,264","46,065","631,468",N/A
Vermilion Oil and Gas Australia Pty Ltd,29113023591,"57,032",150,"721,385",N/A
Victoria Power Networks Pty Ltd,37116940820,"24,931","1,222,784","4,088,119",N/A
VILLAGE ROADSHOW LIMITED,43010672054,"3,805","60,290","304,545",N/A
VIRGIN AUSTRALIA HOLDINGS LIMITED,54100686226,"2,239,625","18,051","32,252,291",N/A
Viva Energy Australia Group Ltd,60004400220,"1,059,857","337,565","19,174,873",N/A
VODAFONE HUTCHISON AUSTRALIA PTY LIMITED,76096304620,179,"145,219","595,673",N/A
WA Country Health Service,28680145816,"11,360","50,521","422,051",N/A
WARRNAMBOOL CHEESE AND BUTTER FACTORY COMPANY HOLDINGS LIMITED,15071945232,"26,833","43,795","656,257",N/A
Washington H. Soul Pattinson and Company Limited,49000002728,"145,589","42,658","1,946,832",N/A
Waste Assets Management Corporation,56784733957,"150,211","1,425","38,402",N/A
WATER CORPORATION,28003434917,"81,813","641,308","3,495,111",N/A
Wesfarmers Limited,28008984049,"1,376,889","2,572,721","30,045,988",N/A
Western Areas Ltd,68091049357,"16,267","45,438","447,235",N/A
Westpac Banking Corporation,33007457141,"5,338","163,352","764,370",N/A
Whitehaven Coal Limited,68124425396,"406,231","59,381","2,212,164",N/A
Wilmar Australia Holdings Pty Limited,79144972743,"169,210","105,399","41,188,021",N/A
Wollongong Coal Limited,28111244896,"268,430","33,962","155,184",N/A
Woodside Petroleum Ltd.,55004898962,"10,050,702","7,508","160,724,786",N/A
Woolworths Ltd,88000014675,"293,845","2,455,016","10,659,660",N/A
Yancoal Australia Ltd,82111859119,"1,114,048","214,200","5,781,797",N/A
Yara Pilbara Fertilisers Pty Ltd,74095441151,"1,623,644",0,"31,677,469",N/A
YFG Shopping Centres  Pty Ltd,56853441699,0,"51,815","227,480",N/A
