Registered Corporations,Total scope 1 greenhouse gas emissions (t CO2-e),Total scope 2 greenhouse gas emissions (t CO2-e),Total energy consumption 3(GJ)
Hanson Australia (Holdings) Proprietary Limited,"174,344","67,373","2,176,261"
Harvey Norman Holdings Limited,"7,835","154,188","674,100"
HCPH Holdings Pty Limited,"124,577","53,491","8,179,237"
Holcim Participations (Australia) Pty Ltd.,"212,215","65,788","3,469,234"
Honan Holdings Pty Ltd,"365,711","206,341","5,324,937"
HRL Limited,"2,423,970","177,470","32,759,413"
Hydro Aluminium Kurri Kurri Pty Ltd,"369,995","2,496,761","13,673,532"
Hydro-Electric Corporation,"332,836","8,231","6,645,117"
ICC Holdings Pty Limited,"138,848","1,811","2,270,369"
Idemitsu Australia Resources Pty Ltd,"398,168","249,293","4,024,707"
Iluka Resources Limited,"913,321","534,110","13,389,297"
Incitec Pivot Limited,"1,015,938","217,339","24,763,196"
Inghams Enterprises Pty Limited,"58,050","230,561","1,773,293"
Integral Energy Australia,"12,481","792,802","3,388,043"
International Power (Australia) Holdings Pty Ltd,"17,968,483","193,974","208,409,630"
JBS Holdco Australia Pty Ltd,"186,221","146,658","2,036,690"
Jellinbah Group Pty Ltd,"173,253","7,053","1,396,717"
Jet Systems Pty Ltd,"126,803","2,176","1,830,973"
Kalgoorlie Consolidated Gold Mines Pty Ltd,"244,751","317,830","4,868,909"
Kimberly Clark Pacific Holdings Pty Ltd,"118,665","281,325","5,379,255"
Kirin Holdings (Australia) Pty Ltd,"71,983","217,934","2,192,961"
Koppers Australia Pty Ltd,"147,319","34,846","4,069,739"
Leighton Holdings Limited,"478,444","114,785","5,278,962"
Linfox Pty Ltd,"202,075","45,340","3,067,091"
Lion Nathan Limited,"41,945","90,724","1,188,969"
Loy Yang Holdings Pty Ltd,"10,139,886","1,892","115,927,457"
LyondellBasell Australia (Holdings) Pty Ltd,"43,766","124,647","1,329,509"
Macarthur Coal Limited,"267,176","54,532","2,117,660"
Macquarie Communications Infrastructure Limited (inc Australia),"1,528","155,950","632,152"
Macquarie Generation,"25,290,141","219,704","286,920,709"
Macquarie Group Limited,"13,775","123,152","682,302"
Mars Australia Pty Ltd,"33,611","99,833","970,959"
McDonald's Australia Ltd,"3,135","127,267","523,990"
Melbourne Water Corporation,"194,574","196,103","1,371,863"
Metropolitan Health Service,"25,130","125,893","970,848"
Millenium Inorganic Chemicals Limited,"147,896","77,371","2,612,383"
Minara Resources Limited,"565,719",350,"7,444,640"
Mirvac Limited,"15,676","280,697","1,329,376"
Monash University,"19,288","116,700","712,728"
Multinet Group Holdings Pty Limited,"292,777","3,022","44,928"
Murray Goulburn Co-operative Co. Limited,"163,197","486,264","5,376,795"
Myer Holdings Limited,"2,485","226,531","895,125"
National Australia Bank Limited,"6,273","160,510","636,977"
Nestle Australia Ltd,"39,451","175,015","1,824,915"
New Hope Corporation Limited,"251,834","33,314","1,444,572"
New Zealand Milk (Australasia) Pty Ltd,"173,677","192,962","3,420,657"
Newcrest Mining Limited,"625,060","606,129","13,271,688"
Newmont Australia Holdings Pty Ltd,"323,755","31,456","5,060,037"
News Australia Holdings Pty Limited,"6,618","126,954","590,642"
Nippon Meat Packers Australia Pty Ltd,"65,428","63,368","886,135"
