Controlling corporation,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
CARTER HOLT HARVEY BUILDING PRODUCTS PTY LIMITED,88121366041,"51,357","167,911","7,314,901",-
CBH RESOURCES LIMITED,27009423858,"8,590","67,052","413,445",-
CEMENT AUSTRALIA HOLDINGS PTY LTD,99001085561,"2,526,821","189,717","12,118,857",-
CEMENT AUSTRALIA PTY LIMITED,75104053474,"40,598","40,185","786,466",-
CENTENNIAL COAL COMPANY LIMITED,30003714538,"1,690,992","229,636","1,232,896",-
CENTRAL GIPPSLAND REGION WATER CORPORATION,75830750413,"30,328","30,622","130,642",-
CENTRAL PETROLEUM LIMITED,72083254308,"54,362",0,"901,375",-
CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY,86673835011,"43,769","67,355","584,284",-
CEVA PTY LTD,27122147433,"75,530","22,072","1,161,555",-
CHARTER HALL LIMITED,57113531150,"6,784","79,608","389,934",-
CHEMCO PTY LTD,68008725817,"28,668","141,179","2,712,155",-
CHEVRON AUSTRALIA HOLDINGS PTY LTD,60098079344,"2,607,239","8,775","48,140,925",-
CIMIC GROUP LIMITED,57004482982,"50,639","32,910","884,558",-
CITIC PACIFIC MINING MANAGEMENT PTY LTD,64119578371,"713,311",219,"13,165,650",-
CITY OF GREATER GEELONG,18374210672,"38,108","14,616","201,845",-
CKI UTILITIES DEVELOPMENT LTD & HEI UTILITIES DEVELOPMENT LTD & 3 OTHS,13332330749,"14,005","490,294","3,328,682",-
CLARKE ENERGY (AUSTRALIA) PTY LTD,20086492935,"132,099",0,"1,632,433",-
CLEANAWAY WASTE MANAGEMENT LIMITED,74101155220,"671,897","29,331","3,299,004",-
CLIFFS NATURAL RESOURCES HOLDINGS PTY LTD,69112437331,"92,169",270,"1,325,317",-
CMOC MINING PTY LIMITED,17164997317,"8,860","204,467","1,036,514",-
COCA-COLA AMATIL LIMITED,26004139397,"49,170","141,916","1,473,280",-
COLLINS TRANSPORT GROUP PTY LTD,66098659342,"50,413","3,393","732,407",-
COMFORTDELGRO CABCHARGE PTY LTD,84002072004,"85,148","3,631","1,222,134",-
COMGEN AUSTRALIA PTY LTD,17050242441,"532,043","13,407","1,092,347",-
COMMONWEALTH BANK OF AUSTRALIA,48123123124,"7,732","94,615","520,850",-
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,41687119230,"16,093","106,456","706,964",-
COMPETITIVE FOODS AUSTRALIA PTY LTD,48010542908,"14,456","131,707","835,641",-
CONOCOPHILLIPS AUSTRALIA GAS HOLDINGS PTY LTD,69081089170,"3,247,297","2,524","60,193,816",-
CONTRACT POWER AUSTRALIA PTY LTD,48081538258,"140,021",0,"1,981,838",-
CO-OPERATIVE BULK HANDLING LIMITED,29256604947,"10,300","52,954","401,551",-
CRAIG MOSTYN HOLDINGS PTY LIMITED,14008398356,"34,528","18,756","389,344",-
CRISTAL AUSTRALIA PTY LTD,21102888559,"73,475","73,893","1,372,975",-
CRISTAL INORGANIC CHEMICALS AUSTRALIA PTY LTD,20125123784,"119,856","41,478","2,197,408",-
CROWN RESORTS LIMITED,39125709953,"25,399","144,038","946,885",-
CSL LIMITED,99051588348,"15,603","71,936","530,014",-
CSR LIMITED,90000001276,"447,471","266,814","8,378,476",-
CUPRIC LIMITED,37103515037,"72,653",812,"1,380,065",-
D. & R. HENDERSON PTY LTD,22000449392,"17,611","43,824","619,343",-
DALRYMPLE BAY COAL TERMINAL PTY LTD,12010268167,"1,490","87,883","423,792",-
DAVID JONES PTY LIMITED,75000074573,"2,951","81,551","363,034",-
DBNGP (WA) TRANSMISSION PTY LIMITED,69081609190,"267,121","1,358","4,556,013",-
DEAKIN UNIVERSITY,56721584203,"7,888","59,218","338,009",-
DELTA ELECTRICITY,67139819642,"3,087,626","43,154","21,973,949",-
DEXUS HOLDINGS PTY LIMITED,48110366946,"17,033","135,910","739,216",-
DIAMANTINA HOLDING COMPANY PTY LIMITED,59149762130,"681,541",68,"7,772,325",-
DOWNER EDI LIMITED,97003872848,"159,627","39,321","2,816,937",-
DP WORLD AUSTRALIA (HOLDING) PTY LTD,58147892715,"26,864","48,261","625,070",-
DUET COMPANY LIMITED,93163100061,"1,624,970","464,455","21,360,689",-
EASTERN HEALTH,68223819017,"9,312","45,823","323,783",-
EASTERN METROPOLITAN REGIONAL COUNCIL,89631866056,"149,068",859,"29,973",-
ECOGEN HOLDINGS PTY LTD,78102872524,"238,009","28,467","3,331,280",-
ELECTRANET PTY LIMITED,41094482416,919,"214,546","1,387,929",-
ELECTRICITY GENERATION AND RETAIL CORPORATION,58673830106,"7,921,330","12,150","64,407,373",-
ELECTRICITY NETWORKS CORPORATION,18540492861,"40,450","768,175","4,123,016",-
ENDEAVOUR ENERGY,59253130878,"19,781","592,244","2,706,419",-
ENERGEX LIMITED,40078849055,"18,510","895,936","4,339,042",-
ENERGYAUSTRALIA HOLDINGS LIMITED,57101876135,"22,353,629","222,671","177,887,181",-
ERGON ENERGY CORPORATION LIMITED,50087646062,"103,613","621,074","3,855,208",-
ERM POWER LIMITED,28122259223,"400,810","5,258","5,780,306",-
ESPERANCE POWER STATION PTY LTD,24086409949,"58,694",0,"870,453",-
ESSENTIAL ENERGY,37428185226,"30,100","690,997","3,282,257",-
EVENT HOSPITALITY AND ENTERTAINMENT LTD,51000005103,"11,231","132,530","784,592",-
EVOLUTION MINING LIMITED,74084669036,"157,586","472,257","4,405,491",-
EXXONMOBIL AUSTRALIA PTY LTD,48091561198,"2,255,306","229,458","159,317,792",-
F & F MANAGEMENT PTY LTD,36133040721,"1,544","56,362","257,944",-
FARSTAD SHIPPING (INDIAN PACIFIC) PTY LTD,40105011989,"141,495",0,"2,141,516",-
FERROVIAL SERVICES AUSTRALIA PTY LTD,74609542556,"34,430","20,199","581,573",-
FIGELA PTY LTD,64303782037,"71,398",0,"10,729",-
FINASUCRE INVESTMENTS (AUSTRALIA) PTY LIMITED,23062315593,"39,623","16,669","4,654,570",-
FLETCHER BUILDING (AUSTRALIA) PTY LTD,11093539452,"69,340","276,441","3,531,403",-
