Controlling corporation,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
SIMPLOT AUSTRALIA (HOLDINGS) PTY LIMITED,23070571934,"65,605","52,936","1,520,603",-
SIMS METAL MANAGEMENT LIMITED,69114838630,"31,702","31,876","586,141",-
SINGAPORE TELECOM AUSTRALIA INVESTMENTS PTY LIMITED,69096686190,"2,823","402,667","1,692,654",-
SNOWY HYDRO LIMITED,17090574431,"57,000","84,222","1,135,363",-
SOJITZ COAL RESOURCES PTY LIMITED,34063050680,"77,483",23,"1,117,953",-
SONIC HEALTHCARE LIMITED,24004196909,"8,386","59,022","386,780",-
SOUTH AUSTRALIAN WATER CORPORATION,69336525019,"83,872","233,612","2,363,809",-
SOUTH32 LIMITED,84093732597,"7,400,532","690,533","63,360,038",-
SPOTLESS GROUP HOLDINGS LIMITED,27154229562,"58,317","46,290","1,222,491",-
ST BARBARA LIMITED,36009165066,"65,548","1,191","1,174,315",-
ST JOHN OF GOD HEALTH CARE INC,21930207958,"16,302","64,408","556,767",-
ST VINCENT'S HEALTH AUSTRALIA LTD,75073503536,"12,185","104,249","628,349",-
STANWELL CORPORATION LIMITED,37078848674,"16,848,553","46,320","122,952,126",-
STATE TRANSIT AUTHORITY OF NSW,51750635629,"161,801","8,065","2,550,833",-
STOCKLAND CORPORATION LTD,43000181733,"35,034","90,326","851,641",-
SUEZ AUSTRALIA HOLDING PTY LTD,30070452890,"603,507","34,498","3,961,950",-
SUN METALS HOLDINGS LIMITED,30051538580,"4,695","709,902","3,303,295",-
SUNSET POWER INTERNATIONAL PTY LTD,75162696335,"3,402,450","36,832","25,033,850",-
SUNWATER LIMITED,17020276523,"2,477","150,899","723,455",-
SUPER RETAIL GROUP LIMITED,81108676204,785,"82,836","363,805",-
SVITZER AUSTRALASIA SERVICES PTY LIMITED,18120555375,"49,543","2,496","713,307",-
SYDNEY AIRPORT LIMITED,18165056360,"5,746","79,898","441,103",-
SYDNEY TRAINS,38284779682,"10,225","512,911","2,338,013",-
SYDNEY WATER CORPORATION,49776225038,"64,323","271,058","1,932,496",-
TASMANIAN NETWORKS PTY LTD,24167357299,"7,973","55,684","1,740,061",-
TELSTRA CORPORATION LIMITED,33051775556,"50,503","1,292,747","6,079,519",-
TEYS AUSTRALIA PTY LTD,38009872600,"125,981","103,859","1,608,754",-
THALES AUSTRALIA HOLDINGS PTY LTD,84058583841,"37,181","43,244","493,681",-
THE STAR ENTERTAINMENT GROUP LIMITED,85149629023,"10,494","94,456","616,595",-
THE TRUSTEE FOR COSTA'S UNIT TRUST,72534822931,"53,308","65,032","937,554",-
THE TRUSTEE FOR THE MADDINGLEY MINE TRUST,63604564597,"88,507",259,"225,592",-
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (NSW),77005284605,"5,436","54,681","328,517",-
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (Q.),25548385225,"14,351","80,869","597,307",-
THE UNIVERSITY OF QUEENSLAND,63942912684,"2,164","115,835","586,229",-
THOMAS FOODS INTERNATIONAL CONSOLIDATED PTY LIMITED,20105099849,"26,902","37,374","641,044",-
TOGA PTY LTD,27000926947,"6,136","57,615","362,158",-
TOLL HOLDINGS LIMITED,25006592089,"504,195","73,578","7,450,546",-
TOYOTA MOTOR CORPORATION AUSTRALIA LIMITED,64009686097,"34,699","103,911","978,030",-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,40062135844,"817,731",71,"11,135,742",-
TRANSDEV AUSTRALASIA PTY LTD,40079303816,"123,690","8,049","1,880,023",-
TRANSGRID,19622755774,"15,163","1,347,408","5,831,052",-
TRANSIT SYSTEMS PTY LTD,34135200609,"74,358","2,654","1,329,473",-
TRANSURBAN HOLDINGS LIMITED,86098143429,"1,489","71,049","297,891",-
TRILITY GROUP PTY LTD,39144522565,"5,506","84,437","453,990",-
TRONOX MANAGEMENT PTY LTD,59009343364,"468,715","127,153","8,910,736",-
TT-LINE COMPANY PTY LTD,39061996174,"153,762",979,"2,079,594",-
TWENTIETH SUPER PACE NOMINEES PTY LTD,16005855327,"88,176","7,498","1,285,697",-
UNIVERSITY OF MELBOURNE,84002705224,"15,879","137,891","738,821",-
UNIVERSITY OF NEW SOUTH WALES,57195873179,"5,792","71,071","411,692",-
UNIVERSITY OF SYDNEY,15211513464,"8,082","91,170","537,218",-
USG BORAL BUILDING PRODUCTS PTY LIMITED,84004231976,"81,074","43,409","1,789,729",-
V/LINE PASSENGER CORPORATION,-,"106,425","17,785","1,569,684",-
VEOLIA WATER AUSTRALIA PTY LTD,99061161279,"66,848","102,653","1,354,570",-
VERMILION OIL & GAS AUSTRALIA PTY LTD,29113023591,"61,935",172,"751,129",-
VICINITY LIMITED,90114757783,"7,893","222,139","976,439",-
VICTORIA POWER NETWORKS PTY LTD,37116940820,"19,980","1,219,465","4,136,121",-
VILLAGE ROADSHOW LIMITED,43010672054,"4,160","61,574","325,938",-
VIRGIN AUSTRALIA HOLDINGS LIMITED,54100686226,"2,640,029","17,458","37,681,763",-
VIVA ENERGY AUSTRALIA GROUP PTY LTD,60004400220,"1,107,801","345,165","13,079,674",-
VODAFONE HUTCHISON AUSTRALIA PTY LIMITED,76096304620,88,"185,612","787,813",-
WA COUNTRY HEALTH SERVICE,28680145816,"9,167","47,027","374,196",-
WAGGA WAGGA CITY COUNCIL,56044159537,"59,643",30,"4,137",-
WARRNAMBOOL CHEESE AND BUTTER FACTORY COMPANY HOLDINGS LIMITED,15071945232,"29,673","47,098","719,013",-
WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,49000002728,"128,734","42,274","1,671,332",-
WASTE ASSETS MANAGEMENT CORPORATION,56784733957,"207,284","1,431","33,377",-
WATER CORPORATION,28003434917,"87,060","713,187","3,773,822",-
WESFARMERS LIMITED,28008984049,"1,351,141","2,482,189","29,130,441",-
WESTERN AREAS LIMITED,68091049357,"14,638","41,965","413,457",-
WESTPAC BANKING CORPORATION,33007457141,"7,149","141,574","702,101",-
WHITEHAVEN COAL LIMITED,68124425396,"1,077,207","84,640","3,947,801",-
WILMAR AUSTRALIA HOLDINGS PTY LIMITED,79144972743,"171,894","52,265","44,107,123",-
WOLLONGONG COAL LIMITED,28111244896,"209,741","16,802","77,243",-
WOODSIDE PETROLEUM LTD,55004898962,"10,074,154","13,695","158,334,313",-
WOOLWORTHS LTD,88000014675,"556,320","2,416,690","10,805,996",-
YANCOAL AUSTRALIA LIMITED,82111859119,"1,019,344","184,511","6,488,588",-
YARA PILBARA FERTILISERS PTY LTD,74095441151,"1,376,963",0,"26,753,572",-
YFG SHOPPING CENTRES PTY LTD AS TRUSTEE FOR THE FU FAMILY TRUST,56853441699,"1,349","56,328","264,944",-
Total Published Registered Corporation Data,-,"328,929,654","86,541,708","3,757,215,516",-
Total Published Reporting Transfer Certificate Holders Data,-,"533,602","94,263","7,022,617",-
Total Unpublished Data (below publishing threshold),-,"4,247,038","3,188,176","164,139,172",-
Grand Total Reported National Greenhouse and Energy Reporting Data,-,"333,710,294","89,824,147","3,928,377,305",-
