Registered Corporations,Scope 1,Scope 2,Scope 1+2,Energy Consumed
TRILITY Group Pty Ltd,"3,569","47,249","50,818","199,615"
Tronox Management Pty Ltd,"621,370","209,207","830,577","11,102,130"
TT-Line Company Pty Ltd,"138,778","1,452","140,229","2,003,135"
Tyco Flow Control International Pty Ltd,"21,280","37,390","58,670","443,487"
United Energy Distribution Holdings Pty Limited,"4,206","520,604","524,810","1,602,758"
University of Melbourne,"15,179","126,422","141,602","664,347"
University of New South Wales,"5,375","60,890","66,265","357,415"
V/Line Corporation,"91,659","15,910","107,569","1,361,029"
Valmont Group Holdings Pty Ltd,"15,927","49,016","64,943","505,566"
Ventura Motors Pty Ltd,"64,196","3,636","67,832","935,858"
VEOLIA TRANSPORT AUSTRALASIA PTY LTD,"74,331","5,786","80,116","1,190,641"
Veolia Water Australia Pty Ltd,"2,947","243,457","246,404","997,558"
Vermilion Oil and Gas Australia Pty Ltd,"61,892",116,"62,007","831,701"
Virgin Australia Holdings Ltd,"1,958,498","15,383","1,973,881","28,198,531"
Vodafone Hutchison Australia Pty Ltd,108,"144,461","144,569","564,751"
Warrnambool Cheese and Butter Factory Company Holdings Limited,"26,664","45,941","72,605","661,599"
Washington H. Soul Pattinson and Company Limited,"349,455","54,105","403,561","2,305,791"
Waste Assets Management Corporation,"142,677","1,259","143,936","41,541"
Water Corporation,"112,716","544,566","657,282","2,929,521"
WESFARMERS LIMITED,"2,042,187","2,624,007","4,666,195","38,807,796"
Western Areas NL,"23,061","45,169","68,231","538,752"
Westfield Holdings Limited,"10,230","309,473","319,703","1,332,624"
Westpac Banking Corporation,"7,072","170,500","177,571","799,412"
Whitehaven Coal Limited,"388,917","25,954","414,871","1,976,441"
Wilmar Australia Holdings Pty Limited,"208,365","122,135","330,500","50,718,393"
Wilpinjong Coal Pty Ltd,"674,620","19,138","693,758","1,179,652"
WOODSIDE PETROLEUM LTD.,"9,167,092","8,143","9,175,235","1,167,507,679"
Woolworths Ltd,"283,937","2,459,929","2,743,866","10,589,939"
XSTRATA COAL QUEENSLAND PTY LIMITED,"151,386","39,580","190,966","1,173,635"
XSTRATA HOLDINGS PTY LTD,"3,290,715","1,188,032","4,478,746","25,772,171"
Xstrata Nickel Holdings Pty Limited,"68,529",192,"68,721","1,364,947"
Yancoal Australia Pty Limited,"1,116,333","173,437","1,289,769","4,376,963"
Yara Pilbara Fertilisers Pty Ltd,"1,756,838",76,"1,756,914","29,880,718"
YFG Shopping Centres  Pty Ltd,0,"53,526","53,526","218,972"
,,,,
