Registered Corporations,Scope 1,Scope 2,Scope 1+2,Energy Consumed
Centro Retail Ltd,"1,825","73,474","75,299","308,909"
CEVA Pty Ltd,"97,262","26,483","123,745","1,493,722"
Charter Hall Limited,"5,237","94,481","99,719","415,898"
CHEDHA Holdings Pty Limited,"20,695","1,378,042","1,398,737","4,384,245"
Chevron Australia Holdings Pty Ltd,"485,341","9,030","494,371","7,878,519"
CITIC Pacific Mining Management Pty Ltd,"142,364",374,"142,738","2,289,117"
City of Greater Geelong,"72,843","15,251","88,094","300,838"
Clarke Energy (Australia) Pty Ltd,"128,497",0,"128,497","2,519,234"
Cliffs Asia Pacific Iron Ore Pty Ltd,"122,055",286,"122,341","1,828,001"
Coca-Cola Amatil Limited,"52,803","132,019","184,823","1,438,899"
Coliban Region Water Corporation,"24,380","27,918","52,297","98,332"
ComfortDelGro Cabcharge Pty Ltd.,"82,904","3,884","86,788","1,200,626"
Comgen Australia Pty Ltd,"576,288","10,383","586,671","1,112,529"
Commonwealth Bank of Australia,"24,811","364,306","389,117","1,766,884"
Commonwealth Scientific and Industrial Research Organisation,"14,556","113,476","128,032","700,327"
Competitive Foods Australia Pty Ltd,"17,871","138,625","156,496","850,974"
Conoco Phillips Australia Gas Holdings Pty Ltd,"1,529,783","2,528","1,532,311","194,062,711"
Consolidated Minerals Holdings (Australia) Pty Ltd,"95,677","1,127","96,803","1,488,281"
Controlling Corporation Griffith University,"1,226","55,431","56,657","245,482"
Cristal Australia Pty Ltd,"54,086","76,477","130,564","1,079,252"
Cristal Inorganic Chemicals Australia Pty Ltd,"146,534","44,606","191,140","1,846,184"
Crocodile Gold Australia Pty Ltd,"32,436","43,049","75,485","699,896"
Crown Limited,"34,210","160,480","194,690","1,151,234"
CSL Limited,"11,475","62,839","74,314","408,962"
CSR Limited,"361,838","273,915","635,754","7,226,473"
CST Mineral Lady Annie Pty Limited,"29,434","29,809","59,244","618,189"
D&R Henderson Pty Ltd,"19,180","44,950","64,130","653,063"
Dalrymple Bay Coal Terminal Pty Ltd,984,"79,255","80,239","338,532"
David Jones Limited,"5,017","93,541","98,558","386,994"
DBNGP (WA) Transmission Pty Limited,"258,501","1,683","260,184","4,642,296"
Deakin University,"7,087","46,525","53,611","272,660"
Delta Electricity,"18,411,537","156,383","18,567,920","214,182,586"
DEXUS HOLDINGS PTY LIMITED,"7,881","113,273","121,154","527,572"
Doral Pty Ltd,"19,350","73,842","93,193","633,749"
Downer EDI Limited,"139,679","46,643","186,322","2,733,978"
DP World Australia (Holding) Pty Ltd,"37,537","52,370","89,907","743,114"
Eastern Metropolitan Regional Council,"90,224",585,"90,809","29,036"
Echo Entertainment Group Ltd,"8,565","105,897","114,462","596,706"
