Controlling Corporation ,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
Caltex Australia Limited,40004201307,"938,697","197,970","85,155,730",N/A
CARGILL AUSTRALIA LIMITED,42004684173,"101,345","64,949","2,148,703",N/A
CARTER HOLT HARVEY BUILDING PRODUCTS PTY LIMITED,88121366041,"52,236","182,850","7,277,998",N/A
CBH Resources Limited,27009423858,"9,179","76,132","452,456",N/A
Cement Australia Holdings Pty Ltd,99001085561,"2,632,110","206,137","12,621,137",N/A
CEMENT AUSTRALIA PTY LIMITED,75104053474,"37,434","26,652","662,594",N/A
Centennial Coal Company Limited,30003714538,"1,459,834","279,808","1,568,924",N/A
CEVA PTY LTD,27122147433,"72,970","28,940","1,154,236",N/A
Charter Hall Limited,57113531150,"5,965","83,916","395,789",N/A
Chemco Pty Ltd,68008725817,"36,857","149,427","3,220,020",N/A
CHEVRON AUSTRALIA HOLDINGS PTY LTD,60098079344,"659,356","10,861","8,319,204",N/A
CIMIC Group Limited,57004482982,"77,412","72,142","1,434,467",N/A
CITIC Pacific Mining Management Pty Ltd,64119578371,"468,205",304,"8,705,996",N/A
CKI Utilities Development Ltd & HEI Utilities Development Ltd & 3 Oths,13332330749,"14,229","507,129","3,169,379",N/A
CLARKE ENERGY (AUSTRALIA) PTY. LTD.,20086492935,"125,058",0,"140,222",N/A
Cleanaway Waste Management Limited,74101155220,"456,756","31,841","3,260,839",N/A
Cliffs Natural Resources Holdings Pty Ltd,69112437331,"135,137",315,"1,947,102",N/A
CMOC Mining Pty Limited,17164997317,"17,264","203,145","1,121,185",N/A
COCA-COLA AMATIL LIMITED,26004139397,"49,239","147,631","1,489,707",N/A
COCKATOO COAL LIMITED,13112682158,"50,769",379,"565,347",N/A
COLLINS TRANSPORT GROUP PTY LTD,66098659342,"47,480","3,517","696,649",N/A
COMFORTDELGRO CABCHARGE PTY LTD,84002072004,"80,323","3,804","1,163,646",N/A
Comgen Australia Pty Ltd,17050242441,"423,540","13,070","1,142,329",N/A
Commonwealth Bank of Australia,48123123124,"8,108","101,125","546,060",N/A
Commonwealth Scientific and Industrial Research Organisation,41687119230,"14,997","110,530","696,917",N/A
COMPETITIVE FOODS AUSTRALIA PTY LTD,48010542908,"17,310","137,195","891,379",N/A
ConocoPhillips Australia Gas Holdings Pty Ltd,69081089170,"2,286,527","2,672","37,450,789",N/A
Consolidated Minerals Holdings (Australia) Pty Ltd,88127662257,"60,523",122,"885,279",N/A
CONTRACT POWER AUSTRALIA PTY LTD,48081538258,"120,768",0,"1,725,404",N/A
Co-operative Bulk Handling Limited,29256604947,"9,249","53,836","387,989",N/A
CRAIG MOSTYN HOLDINGS PTY LIMITED,14008398356,"34,030","18,874","437,099",N/A
CRISTAL AUSTRALIA PTY LTD,21102888559,"65,808","71,626","1,258,081",N/A
Cristal Inorganic Chemicals Australia Pty Ltd,20125123784,"131,328","46,179","1,759,317",N/A
Crown Resorts Limited,39125709953,"23,991","153,602","942,440",N/A
