Controlling Corporation ,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
SCENTRE GROUP LIMITED,66001671496,"10,637","300,250","1,358,963",N/A
SEALED AIR AUSTRALIA (HOLDINGS) PTY LIMITED,74102261307,"3,062","47,931","208,582",N/A
SeaRoad Holdings Pty Ltd,16123749655,"49,532","1,159","690,961",N/A
SEDCO FOREX INTERNATIONAL INC,44188717522,"71,381",56,"1,036,069",N/A
SGSP (Australia) Assets Pty Ltd,60126327624,"541,062","372,893","5,140,116",N/A
Sibelco Asia Pacific Pty Ltd,70092916811,"662,675","244,925","5,214,721",N/A
SILICON METAL COMPANY OF AUSTRALIA PTY LTD,73009401736,"100,874","458,265","5,133,932",N/A
Simplot Australia (Holdings) Pty Limited,23070571934,"65,628","64,492","1,539,786",N/A
Sims Metal Management Limited,69114838630,"33,287","33,655","616,306",N/A
SINGAPORE TELECOM AUSTRALIA INVESTMENTS PTY LIMITED,69096686190,"2,675","389,611","1,590,884",N/A
Snowy Hydro Limited,17090574431,"15,459","126,290","737,444",N/A
Sojitz Coal Resources Pty Limited,34063050680,"79,220",25,"1,154,035",N/A
SONIC HEALTHCARE LIMITED,24004196909,"8,326","59,645","381,618",N/A
SOUTH AUSTRALIAN WATER CORPORATION,69336525019,"61,606","189,276","1,773,574",N/A
South32 Limited,84093732597,"6,381,990","875,529","61,730,667",N/A
Spotless Group Holdings Limited,27154229562,"46,139","46,285","1,034,838",N/A
St Barbara Limited,36009165066,"82,923","1,450","1,439,701",N/A
ST JOHN OF GOD HEALTH CARE INC,21930207958,"14,038","55,429","465,764",N/A
ST VINCENT'S HEALTH AUSTRALIA LTD,75073503536,"10,654","99,902","570,780",N/A
Stanwell Corporation Limited,37078848674,"14,737,132","49,835","110,325,675",N/A
STATE TRANSIT AUTHORITY OF NSW,51750635629,"155,988","8,387","2,489,842",N/A
STOCKLAND CORPORATION LTD,43000181733,"26,344","98,802","779,403",N/A
Suez Recycling & Recovery Holdings Pty Limited,18002658255,"531,244","36,046","1,308,258",N/A
SUN METALS HOLDINGS LIMITED,30051538580,"4,573","734,704","3,333,527",N/A
SUNWATER LIMITED,17020276523,"3,003","132,786","633,807",N/A
Super Retail Group Limited,81108676204,894,"83,004","353,653",N/A
SVITZER AUSTRALASIA SERVICES PTY LIMITED,18120555375,"51,458","2,814","747,750",N/A
Sydney Airport Limited,18165056360,"5,349","82,999","441,265",N/A
SYDNEY TRAINS,38284779682,"10,595","527,790","2,363,536",N/A
SYDNEY WATER CORPORATION,49776225038,"70,595","298,622","2,167,126",N/A
Tasmanian Networks Pty Ltd,24167357299,"7,825","89,612","1,681,363",N/A
TELSTRA CORPORATION LIMITED,33051775556,"52,632","1,312,774","6,069,791",N/A
Teys Australia Pty Ltd,38009872600,"155,478","113,202","1,786,410",N/A
THALES AUSTRALIA HOLDINGS PTY LTD,84058583841,"55,097","42,013","461,620",N/A
The Star Entertainment Group Limited,85149629023,"10,042","97,595","615,954",N/A
The Trustee for Costa's Unit Trust,72534822931,"44,742","65,897","798,374",N/A
The Trustee for FMR Unit Trust,24757019296,"45,178","13,059","718,527",N/A
The Trustee for R.G. Withers Unit Trust,33162985937,653,"128,970","488,755",N/A
THE TRUSTEE FOR THE MADDINGLEY MINE TRUST,63604564597,"71,432",366,"181,650",N/A
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (NSW),77005284605,"5,590","61,507","355,579",N/A
The Uniting Church in Australia Property Trust (Q.),25548385225,"15,296","84,286","618,699",N/A
THE UNIVERSITY OF QUEENSLAND,63942912684,"2,117","126,468","591,912",N/A
Thomas Foods International Consolidated Pty Ltd,20105099849,"27,105","38,094","624,428",N/A
TIDEWATER MARINE INTERNATIONAL INC,52101311451,"65,783",74,"944,058",N/A
Toga PTY LTD,27000926947,"6,706","59,657","378,265",N/A
Toll Holdings Limited,25006592089,"531,423","81,205","7,949,002",N/A
TOYOTA MOTOR CORPORATION AUSTRALIA LIMITED,64009686097,"34,065","110,828","975,679",N/A
TransAlta Energy (Australia) Pty Ltd,40062135844,"769,823",53,"9,989,694",N/A
TRANSDEV AUSTRALASIA PTY LTD,40079303816,"120,130","7,642","1,853,728",N/A
TransGrid,19622755774,"17,722","863,754","3,689,533",N/A
TRANSIT SYSTEMS PTY LTD,34135200609,"80,763","5,527","1,447,026",N/A
Transurban Holdings Limited,86098143429,"1,256","54,085","213,139",N/A
Treasury Wine Estates Limited,24004373862,"11,562","45,940","374,597",N/A
TRILITY Group Pty Ltd,39144522565,"4,880","97,115","527,206",N/A
Tronox Management Pty Ltd,59009343364,"680,269","152,202","11,252,434",N/A
TT-LINE COMPANY PTY. LTD.,39061996174,"142,391","1,141","1,836,925",N/A
Twentieth Super Pace Nominees Pty. Ltd.,16005855327,"82,961","6,582","1,217,437",N/A
UNITED ENERGY DISTRIBUTION HOLDINGS PTY LIMITED,15104381660,"9,948","466,463","1,549,521",N/A
UNIVERSITY OF MELBOURNE,84002705224,"15,681","139,862","722,200",N/A
UNIVERSITY OF NEW SOUTH WALES,57195873179,"4,734","69,849","369,098",N/A
UNIVERSITY OF SYDNEY,15211513464,"7,739","88,246","509,600",N/A
USG Boral Building Products Pty Limited,84004231976,"76,486","42,234","1,700,166",N/A
V/Line Passenger Corporation,,"92,972","17,526","1,387,251",N/A
Valmont Group Holdings Pty Ltd,60094882210,"12,110","41,087","411,645",N/A
VENTURA MOTORS PROPRIETARY LIMITED,67004235518,"49,318","3,187","716,754",N/A
Veolia Water Australia Pty Ltd,99061161279,"77,417","66,909","1,348,342",N/A
Vermilion Oil and Gas Australia Pty Ltd,29113023591,"59,363",155,"783,723",N/A
Vicinity Limited,90114757783,"11,198","237,133","1,061,574",N/A
Victoria Power Networks Pty Ltd,37116940820,"19,977","1,214,868","3,960,424",N/A
VILLAGE ROADSHOW LIMITED,43010672054,"3,953","61,863","316,704",N/A
VIRGIN AUSTRALIA HOLDINGS LIMITED,54100686226,"2,576,182","18,104","37,087,849",N/A
Viva Energy Australia Group Ltd,60004400220,"1,088,074","344,609","15,588,375",N/A
VODAFONE HUTCHISON AUSTRALIA PTY LIMITED,76096304620,115,"172,853","713,643",N/A
WA Country Health Service,28680145816,"10,095","48,690","397,796",N/A
WARRNAMBOOL CHEESE AND BUTTER FACTORY COMPANY HOLDINGS LIMITED,15071945232,"29,311","47,466","707,731",N/A
Washington H. Soul Pattinson and Company Limited,49000002728,"127,264","43,478","1,718,716",N/A
Waste Assets Management Corporation,56784733957,"147,382","1,363","35,807",N/A
WATER CORPORATION,28003434917,"75,477","649,183","3,568,872",N/A
Wesfarmers Limited,28008984049,"1,379,581","2,548,761","29,875,185",N/A
Western Areas Ltd,68091049357,"17,019","44,834","463,624",N/A
Westpac Banking Corporation,33007457141,"5,783","160,238","763,130",N/A
Whitehaven Coal Limited,68124425396,"690,752","71,095","3,128,361",N/A
Wilmar Australia Holdings Pty Limited,79144972743,"167,896","85,456","48,986,512",N/A
Wollongong Coal Limited,28111244896,"308,494","25,972","139,257",N/A
Woodside Petroleum Ltd.,55004898962,"10,080,219","7,527","159,826,420",N/A
Woolworths Ltd,88000014675,"315,311","2,464,023","10,827,243",N/A
Yancoal Australia Ltd,82111859119,"1,042,459","207,593","8,069,163",N/A
Yara Pilbara Fertilisers Pty Ltd,74095441151,"1,452,168",0,"28,317,522",N/A
YFG Shopping Centres Ltd Pty as Trustee for the FU Family Trust,56853441699,0,"50,243","223,303",N/A
YOLARNO PTY LTD   ,95002255183,"32,729","17,696","281,520",N/A
,,,,,
