,,EMISSIONS,,annual electricity generation by fuel type (GWh),,,,,,,,consumption by tonne,,ENERGY CONSUMPTION BY FUEL TYPE (PETAjOULES),,,,DOMESTIC MATERIAL CONSUMPTION PER CAPITA,,FUEL SALES (mega Litres),,,,CONSUMPTION OF MAJOR LIQUID FUELS (GIGALITRES),,,,,,CO2 EMISSIONS FROM GAS FUEL CONSUMPTION (KT),,,CO2 emissions from fuel combustion (mt CO2),,,,,NUMBER OF VEHICLES,,,,,,,FUEL TYPE USE,,,,RATE OF FUEL CONSUMPTION L/100KM,,,,,,,AVERAGE KMS / YEAR (total),,,,,,,,,,,,,,"Transport emissions, 1990 to 2030 (Mt CO2-e)",,,,,,,,,"Fugitive emissions, 1990 to 2030 (Mt CO2-e)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Population,Transport emissions (MegaTonne CO2),electricity emmissions (mt CO2),  Black coal,  Brown coal,  Natural gas,  Oil products,  Biomass,  Wind,  Hydro,  Small-scale solar PV,Biomass,Fossil Fuel,Coal,Oil,Gas,Renewables,Biomass,Fossil Fuel,Automotive gasoline,Aviation diesel oil,Aviation turbine fuel,Aviation gasoline,automotive gasoline,ethanol blended,diesel,aviation turbine fuel,liquid petroleum gas,fuel oil,GAS,LIQUID FUEL,SOLID FUEL,GDP per capita,Energy intensity,Carbon dioxide emissions from fuel,Carbon intensity of energy,direct Combustion emissions,No. Passenger vehicles,No. light commercial vehicles,no. trucks,no. buses,no. motorcycles,No. Railways,No. Domestic aviation,No. vehicles using leaded,no. vehicles using unleaded,No. vehicles using diesel,No. vehicles using other,passenger vehicles,light commercial vehicles,trucks,buses,motorcycles,Railways,Domestic aviation,No. passenger vehicles for business use,No. passenger vehicles for personal use,No. light commercial vehicles for business use,No. light commercial vehicles for personal use,No. trucks for business use,No. trucks for personal use,No. buses for business use,No. buses for personal use,No. motorcycles for business use,No. motorcycles for personal use,Railways,No. domestic aviation flights,No. passengers Domestic aviation,Cars,Light commercial vehicles,Motorcycles,Buses,Rigid trucks,Articulated trucks,Domestic aviation,Domestic shipping,Railways,Other transportation,Open cut coal mines,Underground coal mines,Oil,Million tonne kms of railway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,17378981,61,131.7,"89,511.0","36,048.0","10,772.0","3,396.0", 769.0,,"16,103.0",,126430383.1,140304308,1 640.3,1 444.5, 678.6, 221.9,7.3,8.1,4 390.0,2 328.0, 688.0,na,,,,,,,"31,720","78,573","147,564",,,,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,058,160","50,093,275",34.8,7.5,0.2,1.2,4.1,6.1,2.6,2.6,2.0,0.3,3.4,18.8,2.1,9 829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,17557133,62,134.6,"94,325.1","34,559.0","11,633.0","2,362.0", 670.0,,"15,768.0",10.9,142082722.8,144266346,1 642.6,1 491.7, 707.0, 243.8,8.1,8.3,4 436.0,2 444.2, 754.3,na,,,,,,,"32,849","80,751","151,242",97,101,102,101,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,130,559","51,605,439",34.4,7.4,0.2,1.1,4.0,5.9,3.3,2.3,2.0,0.3,3.4,19.1,2.1,10 346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,17719090,63,135.5,"97,872.7","33,248.0","12,295.0","2,421.0", 670.0,,"16,953.0",13.3,154689110.5,140201533.7,1 661.4,1 532.5, 736.8, 252.3,8.8,8,4 524.0,2 574.0, 651.0,na,,,,,,,"34,180","87,601","152,459",100,99,104,101,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,155,784","55,959,800",34.9,7.5,0.2,1.2,4.0,6.0,3.5,2.4,1.9,0.3,3.7,19.8,2.0,11 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,17893433,65,137.1,"100,544.1","34,890.0","12,199.0","2,320.0", 670.0,4.0,"16,649.0",15.9,137432255.3,140362247.9,1 710.1,1 606.3, 793.1, 258.8,7.7,7.9,4 578.2,2 364.0, 841.0,na,,,,,,,"35,713","87,693","151,150",104,98,106,100,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,218,009","61,748,332",35.7,7.7,0.2,1.2,4.2,6.2,3.7,2.2,1.9,0.3,3.7,19.8,2.0,11 740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,18119616,68,142.7,"102,522.1","35,832.0","14,913.0","2,738.0", 723.0,7.0,"16,239.0",18.9,168980331.7,153274190.5,1 775.9,1 663.9, 797.0, 267.2,9.4,8.5,4 561.5,2 572.9, 884.0,na,,,,,,,"38,346","86,728","153,189",106,98,110,99,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,260,752","66,215,535",36.4,7.9,0.2,1.3,4.4,6.5,3.9,2.0,1.8,0.4,3.9,17.7,2.0,12 518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,18330079,70,147.7,"106,089.6","39,427.0","12,445.0","2,805.0", 928.0,7.0,"15,731.0",23.4,178719284.1,156335449,1 852.6,1 660.6, 818.4, 280.1,9.8,8.6,4 647.3,2 610.8, 954.4,na,,,,,,,"38,496","93,850","166,089",109,98,112,99,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,272,857","68,331,404",37.5,8.3,0.2,1.3,4.7,6.9,4.6,2.5,1.8,0.4,4.0,17.6,2.1,12 264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,18510004,72,152.8,"109,452.2","41,893.0","11,426.0","2,175.0", 965.0,7.0,"16,852.0",27.8,175342051,155738534,1 959.5,1 680.1, 859.3, 278.2,9.5,8.5,4 631.4,2 720.4, 953.1, 25.0,,,,,,,"38,768","89,434","173,867",112,96,116,99,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,269,967","69,554,169",37.9,8.5,0.2,1.4,4.9,7.3,5.1,2.6,1.8,0.5,3.9,18.3,2.0,12 772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,18705620,72,165.4,"116,969.5","46,633.0","12,934.0","1,821.0"," 1,029.0 ",8.0,"15,733.0",33.5,197265036.1,170342052.6,2 022.7,1 698.2, 887.4, 278.3,10.6,9.2,4 733.8,2 840.4,1 079.7, 25.8,,,,,,,"40,344","87,194","185,404",116,95,121,100,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,284,719","70,855,387",38.0,8.6,0.2,1.5,5.2,7.7,5.4,2.6,1.8,0.5,4.2,20.5,2.1,13 624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,18919210,73,171.6,"118,586.3","49,703.0","16,001.0","1,729.0"," 1,133.0 ",28.0,"16,563.0",37.7,201628558.2,169309908.9,2 052.5,1 722.9, 921.5, 274.1,10.7,9,4 820.9,3 030.0,1 180.0, 26.4,,,,,,,"42,049","89,148","189,661",121,93,124,100,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,286,873","74,916,740",38.3,8.8,0.2,1.6,5.4,8.0,4.9,2.2,1.8,0.5,4.4,21.3,2.2,14 369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,19141036,74,175.4,"123,833.5","50,200.0","16,245.0","1,784.0"," 1,134.0 ",58.0,"16,720.0",43.5,195263539.2,172034197.7,2 081.5,1 701.5, 959.9, 268.9,10.3,9,4 624.6,3 150.3,1 234.3, 26.3,,,,,,,"44,147","90,986","189,976",124,91,126,100,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,353,578","81,927,820",39.7,8.7,0.2,1.5,5.3,8.1,4.8,2.0,1.8,0.5,4.5,19.2,1.9,15 042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
